0.188	1.28
0.192	1.31
0.195	1.35
0.199	1.39
0.203	1.43
0.207	1.46
0.212	1.46
0.216	1.47
0.221	1.45
0.226	1.43
0.231	1.40
0.237	1.38
0.243	1.36
0.249	1.36
0.255	1.37
0.262	1.38
0.269	1.39
0.276	1.43
0.284	1.45
0.292	1.48
0.301	1.53
0.311	1.58
0.320	1.65
0.332	1.69
0.342	1.76
0.354	1.84
0.368	1.87
0.381	1.92
0.397	2.00
0.413	2.08
0.431	2.19
0.451	2.33
0.471	2.51
0.496	2.75
0.521	2.94
0.549	3.18
0.582	3.22
0.617	3.17
0.659	3.09
0.704	3.05
0.756	3.08
0.821	3.20
0.892	3.30
0.984	3.41
1.088	3.58
1.216	3.67
1.393	3.69
1.610	3.66
1.937	3.71
