0.1879	1.188
0.1916	1.203
0.1953	1.226
0.1993	1.251
0.2033	1.277
0.2073	1.304
0.2119	1.350
0.2164	1.387
0.2214	1.427
0.2262	1.460
0.2313	1.497
0.2371	1.536
0.2426	1.577
0.2490	1.631
0.2551	1.688
0.2616	1.749
0.2689	1.803
0.2761	1.847
0.2844	1.869
0.2924	1.878
0.3009	1.889
0.3107	1.893
0.3204	1.898
0.3315	1.883
0.3425	1.871
0.3542	1.866
0.3679	1.895
0.3815	1.933
0.3974	1.952
0.4133	1.958
0.4305	1.948
0.4509	1.914
0.4714	1.849
0.4959	1.833
0.5209	2.081
0.5486	2.455
0.5821	2.863
0.6168	3.272
0.6595	3.697
0.7045	4.103
0.7560	4.542
0.8211	5.083
0.8920	5.663
0.9840	6.350
1.0880	7.150
1.2160	8.145
1.3930	9.519
1.6100	11.21
1.9370	13.78
